Region_Comercial,Subregion_Comercial,AGRUP_PIVO,CANAL,Marca,Tamano,EMPAQUE,Retornable,Agrup_Producto,SKU,MES,MES-CUOTA, AL-CUOTA ,AL-VENTA-2017,AL-VENTA-2018,AL-VENTA-2019,YEAR-2018,YEAR-2019
REGION SUR,Sub. Tacna,COMER Y BEBER,HORIZONTAL,INCA_KOLA,FAMILIAR,1.5 LTS.,NO RETORNABLE,GASEOSAS,INCA_KOLA FAMILIAR 1.5 LTS. NO RETORNABLE,ABRIL,657.69,657.69,882.11,728.35,720.43,3209.83,3340.60
REGION SUR,Sub. Tacna,COMER Y BEBER,HORIZONTAL,FANTA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,FANTA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,21.94,27.23,59.18,51.78,19.02,321.77,143.18
REGION SUR,Sub. Tacna,COMER Y BEBER,HORIZONTAL,FANTA,FAMILIAR,2.25 LTS,NO RETORNABLE,GASEOSAS,FANTA FAMILIAR 2.25 LTS NO RETORNABLE,ABRIL,288.43,292.20,416.87,464.82,320.58,2246.44,1496.70
REGION SUR,Sub. Tacna,COMER Y BEBER,HORIZONTAL,CRUSH,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,CRUSH FAMILIAR 3 LTS NO RETORNABLE,ABRIL,1280.23,1290.31,1432.89,650.93,767.16,2910.15,3388.31
REGION SUR,Sub. Tacna,COMER Y BEBER,HORIZONTAL,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,130.46,157.17,105.67,85.59,83.48,471.29,522.01
REGION SUR,Sub. Tacna,COMER Y BEBER,HORIZONTAL,COCA_COLA,FAMILIAR,2.25 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 2.25 LTS NO RETORNABLE,ABRIL,3173.58,3251.24,2590.00,2483.80,2931.58,13614.54,12937.32
REGION SUR,Sub. Tacna,COMER Y BEBER,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,84.79,92.41,64.99,91.93,86.12,547.90,465.47
REGION SUR,Sub. Tacna,COMER Y BEBER,HORIZONTAL,COCA_COLA,FAMILIAR,1.5 LTS.,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1.5 LTS. NO RETORNABLE,ABRIL,418.61,418.62,476.59,406.58,463.64,1791.16,2044.78
REGION SUR,Sub. Tacna,VTA AL PASO MAS OTROS,HORIZONTAL,SCHWEPPES,FAMILIAR,1.5 LTS.,NO RETORNABLE,GASEOSAS,SCHWEPPES FAMILIAR 1.5 LTS. NO RETORNABLE,ABRIL,0.00,0.00,0.00,0.00,0.00,0.00,6.34
REGION SUR,Sub. Tacna,VTA AL PASO MAS OTROS,HORIZONTAL,INCA_KOLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,INCA_KOLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,403.19,387.38,460.19,458.08,308.56,2737.38,1876.18
REGION SUR,Sub. Tacna,VTA AL PASO MAS OTROS,HORIZONTAL,INCA_KOLA,FAMILIAR,2.25 LTS,NO RETORNABLE,GASEOSAS,INCA_KOLA FAMILIAR 2.25 LTS NO RETORNABLE,ABRIL,1152.16,1118.86,1027.92,716.45,1126.19,6217.42,6107.26
REGION SUR,Sub. Tacna,VTA AL PASO MAS OTROS,HORIZONTAL,INCA_KOLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,INCA_KOLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,87.43,83.94,60.94,105.67,94.05,475.87,476.39
REGION SUR,Sub. Tacna,VTA AL PASO MAS OTROS,HORIZONTAL,INCA_KOLA,FAMILIAR,1.5 LTS.,NO RETORNABLE,GASEOSAS,INCA_KOLA FAMILIAR 1.5 LTS. NO RETORNABLE,ABRIL,13.81,11.26,34.08,38.04,18.23,174.36,95.90
REGION SUR,Sub. Tacna,VTA AL PASO MAS OTROS,HORIZONTAL,FANTA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,FANTA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,51.61,53.07,83.48,95.63,49.14,644.06,241.46
REGION SUR,Sub. Tacna,VTA AL PASO MAS OTROS,HORIZONTAL,FANTA,FAMILIAR,2.25 LTS,NO RETORNABLE,GASEOSAS,FANTA FAMILIAR 2.25 LTS NO RETORNABLE,ABRIL,103.90,105.10,160.88,145.83,118.88,979.18,677.62
REGION SUR,Sub. Tacna,VTA AL PASO MAS OTROS,HORIZONTAL,CRUSH,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,CRUSH FAMILIAR 3 LTS NO RETORNABLE,ABRIL,36.22,36.03,62.35,6.34,7.93,11.62,66.04
REGION SUR,Sub. Tacna,VTA AL PASO MAS OTROS,HORIZONTAL,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,291.92,297.62,392.56,368.26,261.53,1959.12,1291.82
REGION SUR,Sub. Tacna,VTA AL PASO MAS OTROS,HORIZONTAL,COCA_COLA,FAMILIAR,2.25 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 2.25 LTS NO RETORNABLE,ABRIL,838.48,798.19,891.20,639.97,1089.34,4191.71,4929.95
REGION SUR,Sub. Tacna,VTA AL PASO MAS OTROS,HORIZONTAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,93.62,89.93,75.03,78.20,99.86,345.72,399.25
REGION SUR,Sub. Tacna,VTA AL PASO MAS OTROS,HORIZONTAL,COCA_COLA,FAMILIAR,1.5 LTS.,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1.5 LTS. NO RETORNABLE,ABRIL,16.27,12.05,29.32,11.89,13.47,73.71,104.35
REGION SUR,Sub. Tacna,VERTICAL,VERTICAL,INCA_KOLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,INCA_KOLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,254.60,254.60,600.21,270.52,443.82,2457.88,2383.94
REGION SUR,Sub. Tacna,VERTICAL,VERTICAL,INCA_KOLA,FAMILIAR,2.25 LTS,NO RETORNABLE,GASEOSAS,INCA_KOLA FAMILIAR 2.25 LTS NO RETORNABLE,ABRIL,1491.98,1491.98,823.05,389.93,1520.48,2952.58,8547.08
REGION SUR,Sub. Tacna,VERTICAL,VERTICAL,INCA_KOLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,INCA_KOLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,39.21,39.21,51.78,46.49,75.03,270.69,471.29
REGION SUR,Sub. Tacna,VERTICAL,VERTICAL,INCA_KOLA,FAMILIAR,1.5 LTS.,NO RETORNABLE,GASEOSAS,INCA_KOLA FAMILIAR 1.5 LTS. NO RETORNABLE,ABRIL,16.53,16.53,42.80,30.12,26.95,219.01,142.66
REGION SUR,Sub. Tacna,VERTICAL,VERTICAL,FANTA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,FANTA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,67.55,67.55,92.99,183.87,219.79,961.60,655.15
REGION SUR,Sub. Tacna,VERTICAL,VERTICAL,FANTA,FAMILIAR,2.25 LTS,NO RETORNABLE,GASEOSAS,FANTA FAMILIAR 2.25 LTS NO RETORNABLE,ABRIL,152.40,152.40,71.33,52.31,192.59,326.52,687.52
REGION SUR,Sub. Tacna,VERTICAL,VERTICAL,CRUSH,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,CRUSH FAMILIAR 3 LTS NO RETORNABLE,ABRIL,0.00,0.00,19.02,0.00,0.00,6.34,0.00
REGION SUR,Sub. Tacna,VERTICAL,VERTICAL,COCA_COLA,FAMILIAR,3 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 3 LTS NO RETORNABLE,ABRIL,177.60,177.60,192.32,207.11,369.85,1766.80,1574.48
REGION SUR,Sub. Tacna,VERTICAL,VERTICAL,COCA_COLA,FAMILIAR,2.25 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 2.25 LTS NO RETORNABLE,ABRIL,1081.61,1081.61,127.99,442.23,1105.58,1942.50,6477.37
REGION SUR,Sub. Tacna,VERTICAL,VERTICAL,COCA_COLA,FAMILIAR,1 LTS,NO RETORNABLE,GASEOSAS,COCA_COLA FAMILIAR 1 LTS NO RETORNABLE,ABRIL,22.47,22.47,48.61,36.98,76.08,230.36,375.13
